iter	RMSE
482	68775.59982
483	68732.30132
484	68711.58947
485	68663.195
486	68627.14041
487	68579.23572
488	68563.95458
489	68545.80798
490	68524.53467
491	68472.5504
492	68449.01334
493	68397.27657
494	68383.92701
495	68352.03578
496	68345.33719
497	68304.76976
498	68283.38934
499	68228.75339
500	68193.06636
501	68175.58969
502	68142.42572
503	68109.78672
504	68065.05552
505	68036.47498
506	68012.14162
507	67989.86489
508	67967.26732
509	67939.22855
510	67927.51045
511	67888.28849
512	67847.29448
513	67811.28289
514	67787.07407
515	67760.55081
516	67706.70326
517	67699.32405
518	67686.95181
519	67671.55488
520	67633.72861
521	67610.87233
522	67566.50902
523	67559.20988
524	67538.27321
525	67511.75183
526	67489.26597
527	67469.98538
528	67441.12226
529	67410.89973
530	67392.20153
531	67360.47503
532	67338.02724
533	67306.76514
534	67283.59178
535	67276.23126
536	67245.79595
537	67235.0083
538	67210.17964
539	67202.65084
540	67182.28917
541	67137.24122
542	67115.3902
543	67072.40315
544	67050.09862
545	67026.10329
546	67006.48848
547	66979.01041
548	66938.71879
549	66932.70741
550	66911.91009
551	66898.70845
552	66883.44295
553	66863.26802
554	66839.23992
555	66795.41945
556	66764.73002
557	66738.06686
558	66723.13377
559	66700.47438
560	66678.24147
561	66650.95499
562	66620.06729
563	66610.53827
564	66566.10431
565	66534.6871
566	66507.8467
567	66483.49099
568	66455.23151
569	66408.63383
570	66393.99877
571	66379.90607
572	66360.13052
573	66336.00656
574	66317.43442
575	66284.47831
576	66252.61974
577	66212.94379
578	66184.68767
579	66171.8183
580	66149.9878
581	66128.57588
582	66091.32732
583	66054.898
584	66038.20728
585	66006.28275
586	65965.58122
587	65954.35636
588	65933.7889
589	65905.21468
590	65882.94409
591	65869.88651
592	65852.37536
593	65832.85574
594	65824.39061
595	65804.32781
596	65793.07104
597	65755.39889
598	65719.6491
599	65673.90913
600	65656.2254
601	65630.95863
602	65594.87784
603	65573.82093
604	65544.18946
605	65528.36222
606	65503.49501
607	65483.5861
608	65461.42145
609	65430.22572
610	65404.94685
611	65385.76022
612	65364.74441
613	65347.08163
614	65327.05322
615	65304.41437
616	65294.54136
617	65242.62285
618	65234.01773
619	65222.41795
620	65202.02332
621	65172.20774
622	65141.92714
623	65110.76916
624	65088.89445
625	65075.76221
626	65046.25641
627	65026.68739
628	65006.01309
629	64987.37379
630	64953.75638
631	64920.74737
632	64900.87605
633	64879.45957
634	64861.28744
635	64841.81471
636	64809.12504
637	64777.98096
638	64765.97118
639	64729.17279
640	64702.74183
641	64675.4388
642	64659.37787
643	64649.9289
644	64637.51306
645	64624.67091
646	64592.70221
647	64569.39631
648	64559.1127
649	64533.00883
650	64505.9637
651	64484.30316
652	64466.51265
653	64451.86802
654	64443.50715
655	64428.72292
656	64417.73126
657	64400.54033
658	64375.67219
659	64350.89083
660	64328.76982
661	64319.17309
662	64288.30221
663	64266.79944
664	64253.78806
665	64235.45755
666	64211.4776
667	64194.23257
668	64181.67656
669	64154.4149
670	64135.71023
671	64123.00868
672	64103.77383
673	64088.03716
674	64067.52416
675	64055.97419
676	64034.27988
677	64017.33528
678	63989.05214
679	63979.60799
680	63942.16593
681	63908.30139
682	63886.22325
683	63872.54548
684	63847.01803
685	63820.51071
686	63782.92313
687	63762.26156
688	63743.07352
689	63718.35295
690	63714.36669
691	63696.1784
692	63661.86602
693	63652.42253
694	63642.33865
695	63626.65421
696	63600.91523
697	63586.6676
698	63569.64375
699	63540.27453
700	63529.41372
701	63504.87558
702	63495.44856
703	63473.89377
704	63435.53393
705	63413.37888
706	63396.2476
707	63375.6471
708	63357.8667
709	63346.5325
710	63311.51445
711	63288.97904
712	63258.54034
713	63236.01224
714	63235.7881
715	63224.07965
716	63210.2932
717	63176.60336
718	63156.16059
719	63155.93961
720	63129.23199
721	63116.15219
722	63097.97167
723	63082.03289
724	63066.77279
725	63049.89794
726	63049.70683
727	63035.45548
728	63010.4996
729	62990.14575
730	62984.02725
731	62959.62416
732	62929.77157
733	62895.40472
734	62867.09399
735	62849.6001
736	62828.66654
737	62810.55094
738	62786.70364
739	62766.94735
740	62753.64994
741	62733.04638
742	62702.15215
743	62686.98948
744	62653.31305
745	62645.77268
746	62645.43706
747	62633.75406
748	62624.92446
749	62607.31853
750	62584.23794
751	62570.17086
752	62543.8308
753	62522.47989
754	62498.50039
755	62474.62962
756	62457.63393
757	62446.92171
758	62424.40039
759	62408.2508
760	62388.06426
761	62365.01369
762	62359.36201
763	62343.82785
764	62324.24307
765	62319.20152
766	62291.72327
767	62271.20253
768	62256.72412
769	62242.34264
770	62235.23923
771	62212.11598
772	62211.24313
773	62187.32811
774	62176.60056
775	62167.92893
776	62136.12564
777	62109.66119
778	62092.66638
779	62078.27297
780	62063.28077
781	62039.80085
782	62029.30765
783	62022.16368
784	61999.62826
785	61979.69979
786	61976.45554
787	61969.77531
788	61952.22357
789	61937.67322
790	61911.39551
791	61894.15667
792	61869.31752
793	61849.70784
794	61832.15574
795	61812.76347
796	61804.56796
797	61786.96283
798	61762.02905
799	61750.21665
800	61733.88541
801	61708.62907
802	61677.23171
803	61670.98714
804	61654.36033
805	61637.27983
806	61605.58017
807	61589.6054
808	61578.58728
809	61575.75976
810	61559.69487
811	61544.48758
812	61531.51062
813	61515.64162
814	61498.1788
815	61470.25485
816	61454.14806
817	61427.27099
818	61408.36373
819	61395.46298
820	61370.52259
821	61361.97429
822	61335.85934
823	61335.69754
824	61318.97506
825	61305.08594
826	61299.74759
827	61286.77159
828	61267.59084
829	61257.37018
830	61238.29495
831	61229.41703
832	61206.22755
833	61187.57381
834	61168.09924
835	61161.95214
836	61148.00914
837	61129.1307
838	61127.78877
839	61110.18414
840	61088.9151
841	61067.57868
842	61044.78969
843	61031.18785
844	61011.23092
845	60989.31614
846	60968.90098
847	60954.25497
848	60940.22556
849	60932.14384
850	60907.91963
851	60892.79521
852	60878.33838
853	60861.30877
854	60843.77584
855	60827.79007
856	60814.22223
857	60797.3259
858	60782.04643
859	60759.95285
860	60751.49934
861	60736.52875
862	60726.80406
863	60712.06361
864	60684.32258
865	60670.07729
866	60657.4964
867	60643.11605
868	60611.19085
869	60602.13794
870	60591.06984
871	60580.60849
872	60571.71127
873	60559.47164
874	60534.18722
875	60513.45988
876	60496.44968
877	60487.25699
878	60467.27952
879	60443.30864
880	60420.99512
881	60400.55253
882	60381.72594
883	60370.43649
884	60346.78114
885	60336.30145
886	60317.71263
887	60301.7061
888	60278.86656
889	60252.38136
890	60239.36223
891	60226.18469
892	60215.47921
893	60199.08764
894	60182.0995
895	60166.37158
896	60156.92631
897	60131.06865
898	60113.79723
899	60088.14867
900	60073.98407
901	60060.42624
902	60047.09638
903	60038.01527
904	60024.68083
905	60009.196
906	59999.65553
907	59984.34556
908	59974.15912
909	59951.10443
910	59919.89634
911	59898.30424
912	59881.36465
913	59869.21066
914	59853.8138
915	59834.86235
916	59819.18371
917	59802.94739
918	59791.04355
919	59780.61659
920	59768.02392
921	59758.71165
922	59737.31082
923	59720.31411
924	59696.52445
925	59686.85906
926	59676.40386
927	59653.4151
928	59634.12006
929	59619.90625
930	59604.94067
931	59587.58906
932	59570.57173
933	59561.1251
934	59549.50226
935	59533.43176
936	59518.76165
937	59500.78131
938	59480.31292
939	59473.44411
940	59447.88463
941	59427.94842
942	59405.46549
943	59395.25765
944	59378.09959
945	59354.79752
946	59336.40386
947	59309.24572
948	59290.90231
949	59274.896
950	59265.194
951	59252.42478
952	59235.85747
953	59219.33489
954	59203.93473
955	59183.43619
956	59152.88534
957	59125.36464
958	59112.39393
959	59100.23474
960	59082.36862
961	59076.34096
962	59067.51583
963	59058.02885
964	59042.6717
965	59032.35235
966	59015.55547
967	58995.66157
968	58985.00543
969	58964.78901
970	58954.31822
971	58948.10281
972	58933.54825
973	58921.8282
974	58913.66977
975	58894.62191
976	58885.89465
977	58876.42686
978	58856.2621
979	58841.74221
980	58825.10023
981	58813.77152
982	58789.84444
983	58770.50187
984	58755.55261
985	58746.20681
986	58726.31113
987	58715.26719
988	58695.76344
989	58683.93434
990	58674.97543
991	58662.07308
992	58644.41566
993	58624.96815
994	58606.68249
995	58591.92603
996	58583.1684
997	58564.65088
998	58551.95138
999	58539.56586
